main-captions	MSRvid	2012test	1	1	The practice is often to ask for a quorum and then leave the hemicycle.	The practice is often to ask for a quorum and then leave the hemicycle.
main-captions	MSRvid	2012train	629	1	Mr. Speaker, I am not tempted to participate in a philosophical debate.	Mr. Speaker, I am not tempted to engage in philosophical discussion.
main-captions	MSRvid	2012train	631	1	With regard to your question on horizontal measures: the Commission services are currently working on a set of guidelines for these horizontal cooperation agreements.	With regard to your question on horizontal measures: the Commission services are currently working on the development of a set of guidelines for these horizontal cooperation agreements.
main-captions	MSRvid	2012train	632	0	Puglia, for example, is a region that needs to tackle criminal organizations in our country and elsewhere.	Puglia, for example, is a region which has to tackle crime organisations with a base in our country as well as elsewhere.
main-captions	MSRvid	2012train	633	1	We will keep in touch with them.	We will keep in touch with them.
main-captions	MSRvid	2012train	636	1	Human rights are of interest to us all, beyond parties and national borders; That is why it is important to have a lot of unanimity within the Assembly, because a right can not be universal if half of Parliament opposes it.	Human rights interest us all, beyond parties and national borders; That is why it is important to have a lot of unanimity within the Assembly, because a right can not be universal if half of Parliament opposes it.
main-captions	MSRvid	2012train	637	0	We have no reason to doubt their veracity.	We have no reason whatsoever to doubt their veracity.
main-captions	MSRvid	2012train	638	1	In order to reduce the time between promises, actual implementation and payments, it is important, on the one hand, that the budgetary authority decides on a balanced relationship between commitment and payment authorizations and on the other hand that, in fact, pressure is exerted to accelerate the implementation of programs.	In order to reduce the length of time between promises, concrete implementation and payments, it is important, first, that the budgetary authority decide on a balanced relationship between commitment and payment authorizations and, secondly, that, in fact, there is pressure to accelerate the implementation of programs.
main-captions	MSRvid	2012train	640	0	I would also like to say that, in my opinion, what would be most effective would be for Parliament to call for proposals from the Development Council and the Development Commissioner respectively. In this way we should perhaps have a basis for discussion instead of receiving proposals from all governments and from the Commission as a whole, which is unlikely to succeed.	I should also like to say that, in my view, what would be most effective would be for Parliament to call for proposals from, respectively, the Development Council and the Commissioner for Development. In that way, we should perhaps have a basis for discussion, instead of receiving proposals from all the governments and from all over the Commission, which is scarcely likely to produce results.
main-captions	MSRvid	2012train	641	0	Nor will he be able to carry out unannounced on-site inspections.	It will also not have the option to make unannounced on-the-spot inspections.
main-captions	MSRvid	2012train	642	0	These figures are incomparably higher for some countries.	Those figures are incomparably higher for some countries.
main-captions	MSRvid	2012train	644	1	There is an irreconcilable contradiction between the positions taken in the name of defending human rights and the rule of law, while undermining the fundamental rights of the Austrians and neglecting the rules of law, in this case the provisions of the Treaty	There is an irremediable contradiction between the positions taken in the name of defending human rights and the rule of law, but at the same time undermining the fundamental rights of the Austrians and neglecting the rules the rule of law, in this case the provisions of the Treaties.
main-captions	MSRvid	2012train	646	1	There must be a provision for cooperation.	There must be a provision for cooperation.
main-captions	MSRvid	2012train	647	1	He must then react appropriately.	It must then react adequately.
main-captions	MSRvid	2012train	650	0	It is in this context that I wish to examine the Commission's proposals.	That is the context in which I want to consider the Commission's proposals.
main-captions	MSRvid	2012train	651	1	Working to guarantee fundamental human rights is a very good intention, but a conflict charter and a bureaucracy is certainly another way to another hell.	Working to ensure basic human rights is a very good intention, but a charter of conflict and bureaucracy is certainly another road to another hell.
main-captions	MSRvid	2012train	652	0	This document comes from the previous Commission. This is undoubtedly the result of the work carried out by Commissioner Papoutsis throughout his mandate, culminating in the Luxembourg summit and the failure of his Philoxenia program.	This document stems from the previous Commission. It is undoubtedly the result of work carried out by Commissioner Papoutsis throughout his term of office and which culminated in the Luxembourg summit and his failed Philoxenia programme.
main-captions	MSRvid	2012train	654	0	We should be able to break this one.	We should be able to crack this one.
main-captions	MSRvid	2012train	656	1	Mr President, I thank MM. Amado and Nielson for their statements.	Mr President, I thank MM. Amado and Nielson for their statements.
main-captions	MSRvid	2012train	657	1	We base not only the allocation of funds on a needs assessment of each country, but also on an evaluation of the performance of their policies.	We not only base the allocation of funds on a needs assessment of each country, but also on an assessment of their policy performance.
main-captions	MSRvid	2012train	659	1	Mr President, I will not stop, I will simply ask the Bureau to consider no longer accepting proposals to delete entire paragraphs in the future, so that the problem does not reoccur today.	Mr President, I will not stop, I will simply ask the Bureau to consider no longer accepting proposals for the deletion of entire paragraphs in the future, so that the problem today does not happen again.
main-captions	MSRvid	2012train	661	0	In the face of the American steamroller, you pledge to do everything possible to calm and eliminate transatlantic disputes, in the name of a hypothetical partnership between the world's superpower and a Europe afflicted by a lack of vision, intentionally induced by the incessant lobbying of environments such as RT.	Faced with the American steamroller, you commit yourself to doing your utmost to subdue and eliminate transatlantic disputes, in the name of a hypothetical partnership between the global superpower and a Europe afflicted with lack of vision, purposefully induced by incessant lobbying from quarters such as the RT.
main-captions	MSRvid	2012train	662	0	Let me remind you that the proposal for a directive we are discussing today is intended to improve the availability and use of port waste treatment facilities for operational waste and cargo residues.	Let me remind you that the proposed directive which we are discussing today is intended to improve the availability and the use of port waste-disposal facilities for operational waste and cargo residues.
main-captions	MSRvid	2012train	663	0	I believe that e-money will become more important, not only in commerce, but also for consumers, especially because Internet security precautions are considered inadequate and many are reluctant to choose this option.	I think that electronic money will gain in importance, not just in commerce but also for consumers, particularly as the safety precautions on the Internet are regarded as inadequate and many are therefore hesitant to choose this option.
main-captions	MSRvid	2012train	665	0	These regional assemblies would monitor actions in their respective fields.	These regional assemblies would monitor action in their respective areas.
main-captions	MSRvid	2012train	667	0	As you know, the first steps were made a few months ago.	As you know, the first steps were taken some months ago.
main-captions	MSRvid	2012train	668	0	I can inform you that Question Time will last one hour.	I can inform you that Question Time will last an hour.
main-captions	MSRvid	2012train	671	1	It is also essential to say that it is poverty that in developing countries often leads to prostitution in general, whether it affects children, women or men.	It is also essential to say that it is poverty that in developing countries often engenders prostitution in general, whether it affects children, women or men.
main-captions	MSRvid	2012train	672	0	I think you must have done it because you did not mention it.	I think that you must have done so, because you have not mentioned it.
main-captions	MSRvid	2012train	676	1	I would ask you to support a more open position, complemented - I insist - by amendment 16 by Mr Sterckx, which would give us sufficient guarantees.	I would ask you to support a more open position, complemented - I insist - by amendment 16 by Mr Sterckx, which would give us sufficient guarantees.
main-captions	MSRvid	2012train	677	0	This marginalization, as well as that of the African parliaments, revealed a considerable inconsistency of the organizers.	This marginalisation, and that of the African parliaments, demonstrated a considerable incoherence on the part of the organisers.
main-captions	MSRvid	2012train	678	0	Thank you, Mrs Dührkop Dührkop, I wish to assure you of my empathy and sincere respect.	Thank you, Mrs DÃ¼hrkop DÃ¼hrkop, I should like to assure you of my empathy and sincere respect.
main-captions	MSRvid	2012train	679	0	Our vote will also express our rejection of any compromise with the United States that would sacrifice Community producers and ACP producers in favor of the dollar banana.	Our vote will also express our rejection of any compromise with the United States that would sacrifice the Community and ACP producers to the profit of the dollar banana.
main-captions	MSRvid	2012train	680	1	These are questions that do not relate to that; rather, it is about transparency of expenditure within the different budget lines so that everything is understandable.	These are questions that do not relate to that; rather, it is about transparency of expenditure within the different budget lines so that everything is understandable.
main-captions	MSRvid	2012train	682	0	The relevant standards that have been defined in another directive, 95/35 / EC, seem adequate enough to advise people responsibly on the organization of the transport of dangerous goods.	The relevant standards which have been laid down in another Directive, 95/35/EC, seem sufficiently adequate to advise people in a responsible manner on the organisation of the transport of dangerous goods.
main-captions	MSRvid	2012train	685	0	Had the European Community acted in the same way, a major disaster could have been avoided.	If the European Community had done the same, a great disaster would have been avoided.
main-captions	MSRvid	2012train	686	1	Since human rights violations in Turkey are of a constant and repetitive nature, what action does the Council intend to take to bring the country into compliance with the aforementioned membership criteria?	Since human rights violations in Turkey are of a constant and repetitive nature, what does the Council intend to do to bring the country into compliance with the membership criteria mentioned above?
main-captions	MSRvid	2012train	687	1	The rapporteur, Mr Kuhne, also highlights the problems related to the financing of the Spinelli building.	The rapporteur Mr Kuhne also points out the problems relating to the financing of the Spinelli building.
main-captions	MSRvid	2012train	688	1	The rules are also important in the context of consumer protection against genetic manipulation and the introduction of unsuspected substances.	The rules are also important in the context of consumer protection against genetic manipulation and the introduction of unsuspected substances.
main-captions	MSRvid	2012train	691	0	Of course, we accept this amendment - it is absolutely right - and I believe that we should incorporate specific circumstances that demonstrate the climate diversity of the European Union, sometimes taking the form of specificities and concrete requirements for the establishment of standards and characterizations. of a technical nature.	Of course, we accept that amendment - it is absolutely right - and I believe that we should incorporate specific circumstances which demonstrate the climatic diversity of the European Union, which sometimes take the form of specifics and of concrete requirements for the establishment of standards and characterisations of a technical nature.
main-captions	MSRvid	2012train	692	1	If you broaden qualified majority voting and therefore remove the national veto, you are transferring nation-state powers to the European institutions.	If you extend qualified majority voting and, as a consequence, you remove the national veto, you are transferring powers from the nation state to the European institutions.
main-captions	MSRvid	2012train	693	1	We agree.	We agree.
main-captions	MSRvid	2012train	694	0	In this respect too, the Commission has not answered the question of what definition it wishes to base its discussions on and whether it wishes to settle foreseeable conflicts by imposing its own definition of the right on others.	In this regard, too, the Commission has not answered the question as to what definition it wishes to base its discussions on, and whether it wishes to settle foreseeable conflicts by imposing its own definition of the law on others.
main-captions	MSRvid	2012train	696	1	These regional policies, which are obviously implemented in each Member State in accordance with the common European guidelines - in other words, each Member State is responsible for the implementation of this program - are intended to increase employment opportunities both for women only for men.	These regional policies, which are obviously implemented in each Member State in accordance with the commonly agreed European guidelines - in other words, each Member State is responsible for the implementation of this program - are intended to increase employment opportunities for both women and men.
main-captions	MSRvid	2012train	697	1	On the other hand, the Presidency conclusions define the four pillars on which the future of the common European asylum and immigration policy will be based: a partnership with the countries of origin, a European asylum system common, fair treatment of third-country nationals and more effective. management of migratory flows.	On the other hand, the presidency conclusions define the four pillars that will underpin the future of the common European asylum and immigration policy: a partnership with the countries of origin, a common European asylum system , fair treatment for third-country nationals and more effective management of migration flows.
main-captions	MSRvid	2012train	699	1	This is not the case.	This is not the case.
main-captions	MSRvid	2012train	700	1	That's why I voted for the report. I hope there will be many more steps of this type in the near future.	That's why I voted for the report. I hope there will be many more steps of this type in the near future.
main-captions	MSRvid	2012train	701	1	The European Commission has just submitted a proposal on transparency.	The European Commission has just submitted a proposal on transparency.
main-captions	MSRvid	2012train	702	1	We know that the Council also recognizes the commitments it has made, and even today the Portuguese Foreign Minister, President-in-Office of the Council, told the donors' conference that the Council intends to ensure lasting stability. . Balkans and that this would require several years of effort.	We know that the Council also recognizes the commitments it has made, and even today the Portuguese Minister for Foreign Affairs, President-in-Office of the Council, has declared at the Donors' Conference that the Council intends to ensure lasting stability. Balkans and that this would require several years of effort.
main-captions	MSRvid	2012train	703	0	Financial management and control is obviously a crucial area of ​​reform.	Financial management and control is obviously a crucial area of reform.
main-captions	MSRvid	2012train	704	0	I want special vehicles such as ambulances to have high recovery quotas.	I want special-purpose vehicles such as ambulances to have high recovery quotas.
main-captions	MSRvid	2012train	705	0	Amoral producers and hardware distributors have decided to respond to the deviant impulses of some individuals by distributing pornographic material involving children on the Internet.	Amoral producers and distributors of material have decided to respond to the deviant urges of some individuals by disseminating pornographic documents involving children over the Internet.
main-captions	MSRvid	2012train	706	1	As I said, Austrian internal affairs is the internal affairs of the European Union.	As I said, Austrian internal affairs is the internal affairs of the European Union.
main-captions	MSRvid	2012train	708	1	First, while some are wondering whether a Geneva resolution will change anything, some of China's most prominent supporters of Chinese democracy firmly believe that this is a welcome gesture, particularly because of the message sent to Chinese people.	First, while some people wonder whether proposing a Geneva resolution makes any difference, some of China's most distinguished Chinese democracy advocates strongly believe that this is a welcome gesture, particularly because of the message thus sent to the Chinese people themselves.
main-captions	MSRvid	2012train	709	1	As regards Article 5g of the second proposal for a directive, the article on delegation, I consider that the Commission's initial proposal concerning the rules on delegations was better than the one just approved in commission. . For this reason, I support some of Mrs Villiers' amendments on this point.	As regards Article 5g of the second proposal for a directive, the article on delegation, I find that the Commission's original proposal on rules on delegations was better than the one just approved in committee. . For this reason, I support some of Mrs Villiers' amendments on this point.
main-captions	MSRvid	2012train	710	1	Comments were made on the Council's absence during the Austrian President's address to Parliament.	Comments were made on the absence of the Council during the Austrian President's address to Parliament.
main-captions	MSRvid	2012train	711	1	Mr President, I would first like to thank all the Members for their intervention, in particular the Portuguese Minister for Transport, President-in-Office of the Council.	Mr President, first of all, I would like to thank all the Members for their intervention, in particular the Portuguese Minister for Transport, President-in-Office of the Council.
main-captions	MSRvid	2012train	712	0	I am pleased that the Dimitrakopoulos report takes this aspiration into account in a constitutional process to simplify and clarify the Community Treaties.	I am happy that the Dimitrakopoulos report takes this aspiration into account in the framework of a constitutional process aimed at simplifying and clarifying the Community treaties.
main-captions	MSRvid	2012train	714	1	The measures to be taken by the governments of the countries of the regional and international organizations of origin, transit and destination are varied and the Honorable Member is quite right to mention the violation of the security and dignity of women in Europe, the threat posed by traffic.	The measures to be taken by the governments of the countries of the regional and international organizations of origin, transit and destination are varied and the honorable Member is quite right to mention the violation of the safety and dignity of women in Europe the threat posed by this traffic.
main-captions	MSRvid	2012train	715	0	Last February, in this forum, we decided unambiguously (and we, the Social Democrats, we stick to that) that the question of the gratuitousness of the last owner is not debatable!	Last February in this House we unambiguously decided (and we Social Democrats are sticking to this) that the matter of freedom from costs for the last owner is not open to question!
main-captions	MSRvid	2012train	719	0	Most Member States have put the brakes on, and I am pleased to see that, in my country, the new government has finally completed something that should have been done long ago, and that Belgian postal and Belgian The public authorities are taking steps to ensure that postal services are ready - at least partially ready - by 2003 to be able to compete.	Most Member States have been putting the brakes on, and I am pleased to note that, in my country, the new government has at long last completed something which should have been done a long time ago, and that the Belgian postal services and the Belgian government are now taking measures to ensure that the postal services are ready - at least partly ready - by 2003 to be able to stand up to the competition.
main-captions	MSRvid	2012train	722	0	This study shows that there are many adjustments, but most of these adjustments, in fact the majority of them, appear to be downward adjustments, the others being improvements.	It appears from this study that adjustments are rife but most of these adjustments, in fact, the majority of them, appear to be downward adjustments, the remainder being improvements.
main-captions	MSRvid	2012train	723	1	I wonder if the astronomical price to be paid to the highest bidder for the UK next-generation mobile market is in the interest of future consumers.	I wonder if the astronomical price to pay for the next-generation mobile phone market in Britain to the highest bidder is in the interest of future consumers.
main-captions	MSRvid	2012train	724	0	It is not only the Commission and the Parliament that must think about their role.	It is not just the Commission and Parliament which need to think about their role.
main-captions	MSRvid	2012train	725	1	It is clear that it is a better control than a simple measurement twice a year at an arbitrary time.	It is clear that this is better control than a simple measure twice a year at an arbitrary time.
main-captions	MSRvid	2012train	727	0	the agenda of the IGC has now been defined by the Member States.	-- the agenda of the IGC has now been set by the Member States.
main-captions	MSRvid	2012train	729	0	In reality, all exhibitions are first examined by the committee called Comart.	But all exhibitions are in fact looked at first by the so-called Comart committee.
main-captions	MSRvid	2012train	730	0	Thanks to a community mechanism that is constantly diluting everyone's responsibility, the definition of one of our basic food products is being modified, with the sole aim of allowing some multinationals to maximize their profits.	Through a Community mechanism which is constantly diluting everyone' s responsibility, the definition of one of our basic foodstuffs is being changed, solely for the purpose of allowing a few multinationals to maximise their profits.
main-captions	MSRvid	2012train	731	0	I also hope that there will soon be a judgment guaranteeing that citizens not only have the right to form trade unions, but also to be free to join them.	I also hope that there will soon be a judgement ensuring that citizens are not only entitled to form trade unions but also to be free to join them.
main-captions	MSRvid	2012train	732	1	I conclude by wishing that my remarks are no longer ignored and that I am not registered in my turn on this list, because I love Constantinople and it is with pleasure that I go there frequently.	I conclude by expressing the hope that my remarks will not be ignored further and that I will not be registered in my turn on this list, because I love Constantinople and it is with pleasure that I go there frequently.
main-captions	MSRvid	2012train	735	1	We are entitled to question the legitimacy of the process of changing the rules of the game en route, forcing producers to question their exploitation plans and their market prospects and leads us to define the terms and conditions of a reform in accordance with the rules of the game. international trade, but not only dictated by it.	We are entitled to question the legitimacy of the process of changing the rules of the game, en route, by forcing producers to question their operating plans and their market prospects and we leads to define the modalities of a reform in conformity with the rules of the international trade, but not only dictated by it.
main-captions	MSRvid	2012train	737	1	She did not do it.	She did not do it.
main-captions	MSRvid	2012train	741	1	The noise pollution caused in Zaventem has long since passed the threshold of the acceptable.	The noise pollution caused in Zaventem has long since passed the threshold of the acceptable.
main-captions	MSRvid	2012train	742	1	From the moment the deposit has already been paid, both do it in the port.	From the moment the deposit has already been paid, both do it in the port.
main-captions	MSRvid	2012train	744	1	Second, Commissioner, the representative of the Council, what I remember from this one-year postponement is that it has been useless for the simple reason that American interests - and when I speak of American interests, I mean interests of a part of the American industry. - are clearly interests that do not go in the direction of a general improvement of the standards, and even less in the case of "hushkits".	Secondly, Commissioner, the representative of the Council, my lesson from the one - year postponement is that it has been useless for the simple reason that American interests - and when I speak American interests, I mean the interests of a part of the American industry - are clearly interests that do not go in the direction of a general improvement of the standards, and still less in the case of "hushkits".
main-captions	MSRvid	2012train	746	1	The questions can hurt.	The questions can hurt.
main-captions	MSRvid	2012train	748	0	The Commission would like to propose a solution to this problem, which would then apply to all companies based in the European Union employing third country staff.	The Commission would like to propose finding a solution to this problem which would then apply to all companies based in the European Union which employ staff from non-EU countries.
main-captions	MSRvid	2012train	749	0	It goes without saying that the internal market aims to facilitate the cross-border activities of small and medium-sized enterprises.	Needless to say, the scope of the internal market is intended to facilitate cross-border activities for small and medium-sized businesses.
main-captions	images	2014	1	1	It's something to consider!	That's something to consider!
main-captions	images	2014	2	0	The European Union and its Member States should take the lead in providing a significant portion of these funds.	The European Union and its Member States should take the lead in providing a significant portion of these funds.
main-captions	images	2014	3	0	The policy pursued by the European institutions and by national governments, in particular the French government, is a retrograde policy, going against the interests of the users of services, that is to say the vast majority of the population , and postal workers.	The policy undertaken by the European institutions and by national governments, especially the French government, is a retrograde policy, counter to the interests of both the service users, i.e. the great majority of the population, and the postal service workers.
main-captions	images	2014	4	1	We support the drafting of a Charter of Fundamental Rights in the form of a political document.	We support the development of a Charter of Fundamental Rights in the form of a political document.
main-captions	images	2014	6	1	The Europe of Innovation and the Information Society must also serve this purpose.	The Europe of Innovation and the Information Society must also serve this purpose.
main-captions	images	2014	7	1	We of course accept this amendment, which is entirely justified, and I believe that we need to present concrete circumstances which bear witness to the climate variety of the European Union, sometimes resulting in specificities and concrete requirements at a given moment. where it is a question of considering normalisations or characterizations of technical type.	We of course accept this amendment, which is entirely justified, and I think that we need to introduce concrete circumstances which bear witness to the climate variety of the European Union, which sometimes translates into specificities and concrete requirements at a time when it is a question of considering normalisations or characterizations of technical type.
main-captions	images	2014	8	0	This is not your goal.	This is not your objective.
main-captions	images	2014	9	1	It is a staff with exceptional qualities, qualities difficult or impossible to meet in national governments, precisely because of the modes and criteria of recruitment.	It is a staff with exceptional qualities, qualities difficult - if not impossible - to meet in national governments, precisely because of modes and criteria of recruitment.
main-captions	images	2014	10	0	Madam President, the work of the ACP-EU Joint Assembly was marked in 1999 by growing concern about the sustainability of the Lomé-derived models of cooperation.	Madam President, the work of the ACP-EU Joint Assembly was coloured in 1999 by growing concern about the sustainability of the cooperation models derived from the LomÃ© Conventions.
main-captions	images	2014	12	0	Madam President, I would simply like to come back to what Mrs Morgantini said about lists in Turkey.	Madam President, I would simply like to follow up what Mrs Morgantini said about the lists in Turkey.
main-captions	images	2014	14	0	Mr Prodi, you have today presented the Commission's five-year program, which has many objectives.	President Prodi, today you have presented the Commission' s five-year programme, and it has many objectives that we endorse.
main-captions	images	2014	15	1	This is a great exaggeration of the difficulties encountered.	This is a big exaggeration of what the difficulties were.
main-captions	images	2014	17	0	A comment and a question to the Council representative: is the answer he has just given us specific?	A comment and question to the Council' s representative: is the answer he just gave us specific?
main-captions	images	2014	21	0	This is a problem that requires further analysis.	This is an issue which requires deeper analysis.
main-captions	images	2014	22	1	Two questions: first, you said that you will start the dialogue with the citizens and I am already starting with 700 trainees at the European Commission.	Two questions: firstly, you said that you are going to start the dialogue with the citizens and I am already starting with 700 trainees at the European Commission.
main-captions	images	2014	23	0	The risk is high that, in due course, this dubious practice will be claimed as an acquired right and will therefore constitute an extremely dangerous precedent for farmers in our countries.	There is a great risk that, when the time comes, this dubious practice will be claimed by many as an acquired right, and it will therefore constitute an extremely dangerous precedent as far as the farmers of our countries are concerned.
main-captions	images	2014	24	0	This is certainly possible. Indeed, it must be possible to provide state aid to small and medium-sized enterprises involved in research and development with the aim of educating them on regional and environmental policy.	It is certainly possible, indeed it must be feasible for state aid to be given to small and medium-sized enterprises involved in research and development for the purpose of educating them in regional and environmental policy.
main-captions	images	2014	26	0	Mr President, I am pleased to see the convergence of views between the Parliament, in particular the Committee on Budgets, and the Commission, and we can assure you that we, for our part, will always be there to assist the Commission in the execution of his tasks. of his homework.	Mr President, I am pleased to see the convergence of viewpoints there is between Parliament, particularly the Committee on Budgets, and the Commission, and we can assure you that, for our part, we shall always be there to assist the Commission in the performance of its duties.
main-captions	images	2014	27	0	This will put us back on the map and that is why we have adopted the e-Europe initiative, which has inspired the Commission to set a concrete example in its administrative reform.	This will put us back in the lead, and this is why we adopted the e-Europe initiative, which prompted the Commission to set a practical example in its administrative reform.
main-captions	images	2014	28	0	I can only say very briefly that we are actively working with them on a practical level: they are getting ready, they all have competition laws and they are putting in place the appropriate authorities.	I can only say very briefly, that we are actively working with them on a practical level: they are making preparations, they now all have competition laws and are setting up the relevant authorities.
main-captions	images	2014	29	0	These leaders must resign. They do not deserve the loyalty of today's seniors, today's youth, or the 2100, 2200, and so on.	These leaders must resign. They do not deserve the loyalty of the elderly of today, nor the young people of today, nor the elderly of 2100, 2200 and so forth.
main-captions	images	2014	31	1	In the Netherlands, the competition authorities are still in the early childhood stage.	In the Netherlands, the competition authorities are still in the early childhood stage.
main-captions	images	2014	32	0	Why do we think that investment should not be used as a demand management instrument but rather should be practiced for itself?	Why do we think that investment should not be used as an instrument for managing demand but should rather be practised for its own sake?
main-captions	images	2014	33	0	It is not by chance that the President of the Republic of Austria forced the two parties of the coalition government to make a declaration recognizing a set of fundamental principles.	It was not by chance that the President of the Republic of Austria has obliged the two parties in the coalition government to make a declaration recognising a basic set of principles.
main-captions	images	2014	38	0	The further away the community is, the bigger the difference becomes.	The more remote the community, the greater the difference becomes.
main-captions	images	2014	40	0	The Liberal Democrats in this House are proud that three of the authors of today's reports, Ms Malmström, Ms Haarder and Baroness Ludford, have struggled with these problems and have submitted these reports to the House today.	Liberal Democrats in this House are proud that three of the authors of today's reports, Mrs MalmstrÃ¶m, Mrs Haarder and Baroness Ludford have grappled with these issues and given the House these reports today.
main-captions	images	2014	41	0	All these issues emerged in 1998 and should, of course, also be addressed in the 1998 discharge.	All these matters surfaced in 1998 and they should therefore, of course, also be dealt with under the 1998 discharge.
main-captions	images	2014	42	0	In the worst case, we want to avoid the possibility of a collision between the objectives of the Structural Funds and the European Union's concern to protect its natural habitats.	At its worst, we want to avoid the possibility that the aims of the structural funds and the European Union's concern to protect its natural habitats may collide.
main-captions	images	2014	43	1	If it is the real policy, if we do not have the means, then, Mr High Representative of the CFSP, Commissioner, I call you both. Let us use at least the means at our disposal, namely the aid programs for Russia.	If this is the Real Politik, if we really do not have the means, then, Mr High Representative of the CFSP, Commissioner, I call on both of you. Let us use at least the means we have, namely, the programs of aid to Russia.
main-captions	images	2014	45	1	It is essentially a matter of applying the principle of subsidiarity.	It is essentially a matter of applying the principle of subsidiarity.
main-captions	images	2014	46	0	In the field of the environment, we are exploring ways to cooperate with Mrs Wallström; in the field of regional policy, Mr Barnier pays a lot of attention to this sector.	In the area of environment, we are looking at ways to cooperate with Mrs WallstrÃ¶m; in the area of regional policy Mr Barnier is giving a lot of attention to this sector.
main-captions	images	2014	47	0	However, let me say very clearly that this is an issue that really concerns European citizens as it concerns the management of their savings, the available options, the functioning of competition between countries in different countries. forms of savings, the demand for the safety of savers and the opportunities for European citizens to save wisely for their old age.	Allow me, however, to state very clearly that this is a question which really does affect the citizens of Europe in so far as it relates to how their savings are administered, what options there are available, how competition operates between countries in regard to different forms of savings, savers' demand for security, and the opportunities Europe' s citizens have to save wisely for their old age.
main-captions	images	2014	48	1	Even if we do not hear anything else, we know that the reforms we are looking for are going in the right direction.	Even if we do not hear anything else, we know that the reforms we are looking for are going in the right direction.
main-captions	images	2014	49	1	As the Treaties do not constitute a specific legal basis for the implementation of a genuine Community tourism policy, the European Union must contribute to improving and encouraging cooperation in this sector, in compliance with the principle of subsidiarity, in order to Realize the potential offered by tourism. in terms of employment.	Since the Treaties do not provide a specific legal basis for the implementation of a genuine Community tourism policy, the European Union must contribute to improving and encouraging cooperation in this sector, while respecting the principle of subsidiarity , in order to realize the potential that tourism offers in terms of employment.
main-captions	images	2014	50	0	In common with Mrs Theato, we hope that everything will be signed, sealed and delivered before the summer.	In common with Mrs Theato, we hope that everything will be signed, sealed and delivered before the summer.
main-captions	images	2014	51	1	To reform the Court of Justice, the Treaty will have to be amended in order to make the Statute and Rules of the Court of Justice and the Court of First Instance operational.	In order to reform the Court of Justice, the Treaty will need to be amended to make the Statute and Rules of the Court of Justice and the Court of First Instance operational.
main-captions	images	2014	52	1	At present, this court challenge has not yielded any conclusive results.	At present, this legal challenge has not produced any conclusive results.
main-captions	images	2014	53	0	Regardless of the fact that the Commission's requirement to produce an annual report, which is clearly stated in the Council Resolution, has produced only an "informal document", the real problem is that, at a time of rising poverty in the world, this horse is climbing The basket of other EU policies is so heavy that development policy is being pulled slowly backwards.	Never mind that the Commission' s requirement to produce an annual report, set out clearly in the Council resolution, has produced only one "non-paper" , the real problem here is that at the time of rising world poverty this particular horse is climbing uphill and the cart of other EU policies is so heavy that development policy is actually being pulled slowly backwards.
main-captions	images	2014	55	0	This is an extremely important element of the checks and balances system to ensure that Member States and operators comply with Community legislation.	This is a hugely important component of the system of checks and balances to ensure that Member States and operators are complying with Community legislation.
main-captions	images	2014	57	1	I think that my colleague, Mr Alavanos, will pass on all this information to the Commissioner so that he will keep it in mind because it is actually propaganda and not merely a promotion of Community programs.	I think that my colleague, Mr Alavanos, will convey all these things to the Commissioner so that he keeps them in mind because it is really propaganda and not just a promotion of Community programs.
main-captions	images	2014	59	1	Thanks to the pressure we have exerted, the European Commission has launched a radical reform of foreign policy.	Thanks to the pressure we have exerted, the European Commission has started a drastic reform of foreign policy.
main-captions	images	2014	60	0	What are we doing about it?	What are we doing about it?
main-captions	images	2014	61	1	The revision is not limited to legislation.	The revision does not stop at legislation alone.
main-captions	images	2014	62	1	The draft resolution also asks the Commission and the Council to present a synthesis document before the next annual meeting of the IMF.	The draft resolution also calls for the submission of a position paper by the Commission and the Council before the next annual meeting of the IMF.
main-captions	images	2014	63	0	I see that a Council diplomat is present, taking notes diligently and then reporting to the Council, but for the rest, nothing will be done.	I see that a diplomat from the Council is present who is diligently taking notes and who will then report to the Council but, for the rest, nothing will get done.
main-captions	images	2014	64	0	I am thinking in particular of Total-Fina in this case.	I am thinking specifically of Total-Fina in the present instance.
main-captions	images	2014	65	0	The first is that the deadline for a separate request for a vote on the amendments should have been set at 19.00. yesterday.	One is that the deadline for a request for separate votes on the amendments should have been made by 7 p.m. yesterday.
main-captions	images	2014	66	1	Portugal can learn from its Finnish predecessor what it should not do.	Portugal can learn from its Finnish predecessor what it should not do.
main-captions	images	2014	67	0	In fact, these credits are urgently needed!	In fact, these appropriations are urgently needed!
main-captions	images	2014	68	0	Madam President, I would like to express my support for the decision of the Conference of Presidents and, as I publicly criticized the presidency in January, I would like to take this opportunity to say both for myself and on behalf of the Socialist Group we now believe that the presidential statements on this issue are appropriate and we agree on their basis, their importance and their form.	Madam President, I would like to express my support for the decision of the Conference of Presidents, and, since I publicly criticised the presidency in January, I would like to take this opportunity to say, both for myself and on behalf of the Socialist Group, that we now find the presidency' s statements on this issue to be appropriate, and we agree on their basis, their importance and their form.
main-captions	images	2014	69	0	However, in the case of the United Kingdom, we think that they go further than that in an unacceptable way.	However, in the case of the United Kingdom, we believe they go further than that in a manner which is unacceptable.
main-captions	images	2014	70	1	It is obvious that, for the moment, the Council has not bet on an enlargement accompanied by a deepening.	It is obvious that, for the moment, the Council has not bet on an enlargement accompanied by a deepening.
